consensus_barcode01_Q15_0_0(164939)	Elephant_TS0743_TS0744_cytb	96.743	307	10	0	96	402	307	1	4.99e-148	512	Elephant_TS0743_TS0744_cytb
consensus_barcode01_Q15_0_0(164939)	Aardwolf_SNP76_04_cytb	78.105	306	61	5	100	402	303	1	9.55e-51	189	Aardwolf_SNP76_04_cytb
consensus_barcode01_Q15_0_1(11718)	Buffalo_SCA1747_SCA1749_cytb	98.697	307	4	0	101	407	307	1	4.87e-158	545	Buffalo_SCA1747_SCA1749_cytb
consensus_barcode01_Q15_0_1(11718)	Cow_Type2_pseudogene?	86.928	306	40	0	101	406	307	2	1.91e-97	344	Cow_Type2_pseudogene?
consensus_barcode01_Q15_0_1(11718)	Greater_Kudu_AF036280_Tragelaphus_strepsiceros_cytb	86.093	302	42	0	105	406	303	2	6.90e-92	326	Greater_Kudu_AF036280_Tragelaphus_strepsiceros_cytb
consensus_barcode01_Q15_0_1(11718)	Roan_TS06105_cytb_ONT	85.621	306	44	0	101	406	307	2	8.93e-91	322	Roan_TS06105_cytb_ONT
consensus_barcode01_Q15_0_1(11718)	Warthog_TS07135_TS06059_cytb	85.284	299	44	0	108	406	300	2	6.95e-87	309	Warthog_TS07135_TS06059_cytb
consensus_barcode01_Q15_0_2(303)	Buffalo_SCA1747_SCA1749_cytb	88.636	308	33	2	101	407	1	307	2.43e-106	374	Buffalo_SCA1747_SCA1749_cytb
consensus_barcode01_Q15_0_2(303)	Cow_Type2_pseudogene?	86.928	306	40	0	102	407	2	307	1.91e-97	344	Cow_Type2_pseudogene?
consensus_barcode01_Q15_0_2(303)	Elephant_TS0743_TS0744_cytb	84.211	304	40	6	101	400	1	300	9.06e-81	289	Elephant_TS0743_TS0744_cytb
consensus_barcode01_Q15_0_2(303)	Roan_TS06105_cytb_ONT	83.117	308	49	3	101	407	2	307	1.96e-77	278	Roan_TS06105_cytb_ONT
consensus_barcode01_Q15_0_2(303)	Aardwolf_SNP76_04_cytb	82.372	312	45	8	101	407	1	307	5.49e-73	263	Aardwolf_SNP76_04_cytb
